gamma_dt,seven_no_recovery,seven_optimal,bgm_no_recovery,bgm_optimal,gross13_no_recovery,gross13_optimal,gross17_no_recovery,gross17_optimal,bare_no_recovery,bare_optimal
1e-05,0.5000174996277976,1.1487250040076447e-09,1.881371827372469e-05,1.903873725339622e-09,0.5000324987400679,3.521437919040693e-09,0.5000424978561278,4.9708094529421494e-08,0.5,4.999981670694709e-06
2.1544346900318823e-05,0.500037700880406,2.2352792949931204e-09,4.053134381187817e-05,5.8927418500331904e-09,0.5000700132821708,8.919978311539012e-09,0.5000915535306394,1.571653462928424e-08,0.5,1.0772087160271226e-05
4.641588833612782e-05,0.5000812197933331,1.1086649154279373e-08,8.731476784762382e-05,1.3418410271803792e-08,0.5001508245061221,2.8997282575105032e-08,0.5001972213657564,5.139045544666487e-08,0.5,2.3207540841951868e-05
0.0001,0.5001749628100001,4.729573721551361e-08,0.0001880798241452597,6.472869340523603e-08,0.5003248740858979,9.97014693027154e-08,0.5004247857952658,1.3010826949155785e-07,0.5,4.999812558703631e-05
0.0002154434690031,0.5003768534992896,1.130283395767151e-07,0.00040504728787449373,1.040478534442002e-07,0.5006996070489467,3.78337843276455e-08,0.5009146409579459,2.9515616817299417e-07,0.5,0.0001077130321378
0.0004641588833612,0.5008114774279404,6.767487570336074e-08,0.0008719134707119158,1.0387591586891177e-07,0.5015058066497176,1.654745771517696e-07,0.501968066925525,2.0940781442213563e-08,0.5,0.0002320390611696
0.001,0.5017462868697453,3.1720969972948154e-07,0.0018750791578584503,4.80524303902996e-07,0.5032374412879923,7.43453540952288e-07,0.5042286525227082,3.772350909425626e-07,0.5,0.0004998125904808
0.0021544346900318,0.503753055041932,1.4820749860700031e-06,0.004024025294850797,2.351148338242126e-06,0.5069438059047424,3.722716559018125e-06,0.5090576836588192,1.0757678201578358e-06,0.5,0.0010763476539399
0.0046415888336127,0.5080432112570018,6.931748836702667e-06,0.008597349450843561,1.0399545312234082e-05,0.5148172991937361,1.536718384997915e-05,0.5192729770619888,1.2594947069732854e-06,0.5,0.0023167601005125
0.01,0.5171335788285658,3.352867136174886e-05,0.0181950509248765,4.820072791100749e-05,0.5312748221052375,7.211638912840712e-05,0.540434631898553,5.777083720515108e-06,0.5,0.004981302038026
