pulse,alpha,beta,gamma,kappa
1,0.9413181531716235,-1.671277559326485,-2.5233085924504275,-1.6079606828848125
2,2.5048643427046393,1.6182160185734242,2.496565588000453,-0.36697711233211283
3,-1.9163417044840627,-3.1100352620713387,0.10983504392848346,-3.1168876183462686
4,0.6019915351389414,-2.6348602953455798,-3.0493138707069174,2.9015570716934658
5,-0.057996671721942825,-0.6449604582152159,1.2178383062356,-1.6194641178753486
6,-2.770017695060866,3.141161356381737,0.3468801777509114,3.1173518889983036
7,0.7671653893587785,1.7219516265616315,-1.9417760867308431,-0.561585281633292
8,-1.796321459727975,3.0624741616427134,1.183281824341504,2.167110010889642
9,-3.1107133113821517,1.0741198907373473,1.985165624236376,-0.36800372315656776
10,-2.296101635512287,2.456506489558818,-3.1107132836266844,3.107169983536553
