p,gpg_mode,GPG cooperativity,exact infidelity,GPG infidelity,GPG - exact infidelity penalty,0.5||rho_GPG-rho_exact||_1,Tr noisy rho,Tr exact output,Tr GPG output,max state-prep infidelity,total optimized seconds,baseline p,below baseline,wall seconds,error-free GPG infidelity
0.0005,detuned,1000000.0,3.6092774657880966e-08,0.001817435166363457,0.001817399073588799,0.033404102223534834,1.0000000000000004,0.9999999999999837,1.000000000000039,0.13601663515835427,886.6650550869526,0.0005,False,886.8461044590222,3.6273348213988754e-08
0.0005,detuned,10000000.0,3.6092774657880966e-08,0.00019661741316012726,0.00019658132038546938,0.012423900719381183,1.0000000000000004,0.9999999999999837,1.000000000000048,0.047297716565084746,905.6712132073008,0.0005,True,905.8348638749449,3.6273348213988754e-08
0.0005,detuned,100000000.0,3.6092774657880966e-08,1.3674461301738106e-05,1.3638368527080225e-05,0.0031535197298802856,1.0000000000000004,0.9999999999999837,1.0000000000000466,0.014276242656467542,1656.2589538361644,0.0005,True,1656.436925875023,3.6273348213988754e-08
0.0005,detuned,1000000000.0,3.6092774657880966e-08,8.023991106331785e-06,7.987898331673904e-06,0.002429284860304981,1.0000000000000004,0.9999999999999837,1.0000000000000435,0.004655853723370851,3913.410893165972,0.0005,True,3913.5628810840426,3.6273348213988754e-08
0.0005,detuned,10000000000.0,3.6092774657880966e-08,1.8940213911688986e-06,1.8579286165110176e-06,0.00103725677622834,1.0000000000000004,0.9999999999999837,1.000000000000039,0.0017026559420625365,1661.2563529177569,0.0005,True,1661.423083917005,3.6273348213988754e-08
0.001,detuned,1000000.0,2.8663604256795594e-07,0.0023619421391083417,0.0023616555030657738,0.04055735320761686,1.0000000000000004,0.9999999999998519,1.0000000000000437,0.10536264839574705,680.8852401230251,0.001,False,681.0373559159925,2.866385336863786e-07
0.001,detuned,10000000.0,2.8663604256795594e-07,0.0008441049703199477,0.0008438183342773797,0.02352823183343135,1.0000000000000004,0.9999999999998519,1.0000000000000402,0.04931763756302321,684.7916704990203,0.001,True,684.9421042079339,2.866385336863786e-07
0.001,detuned,100000000.0,2.8663604256795594e-07,4.532017858005499e-05,4.503354253748704e-05,0.005518276233161911,1.0000000000000004,0.9999999999998519,1.0000000000000402,0.016170844950320395,689.8423290409846,0.001,True,689.9914834579686,2.866385336863786e-07
0.001,detuned,1000000000.0,2.8663604256795594e-07,2.0443582115947656e-05,2.01569460733797e-05,0.0034767268920442105,1.0000000000000004,0.9999999999998519,1.0000000000000397,0.005148601433919708,703.470933503937,0.001,True,703.6338205420179,2.866385336863786e-07
0.001,detuned,10000000000.0,2.8663604256795594e-07,1.2143620918059206e-05,1.185698487549125e-05,0.002143057434199614,1.0000000000000004,0.9999999999998519,1.0000000000000417,0.0018538722915060202,706.2642630030168,0.001,True,706.429869582993,2.866385336863786e-07
