p,cooperativity,gpg_mode,exact_infidelity,gpg_infidelity,gpg_minus_exact_infidelity_penalty,trace_noisy_rho,trace_exact_output,trace_gpg_output,max_state_prep_infidelity,total_optimized_seconds,num_sequences,cache_file
0.0005,1000000.0,erroneous,3.6092774657880966e-08,0.0011293478404282853,0.0011293117476536274,1.0000000000000004,0.9999999999999837,1.000000000000043,0.10026744738970184,670.5355803740094,28,cache/noisy_gpg_cooperativity_sweep_p5e-4_p5e-3.pkl
0.0005,10000000.0,erroneous,3.6092774657880966e-08,0.0002253728324889126,0.00022533673971425472,1.0000000000000004,0.9999999999999837,1.0000000000000429,0.02666284090652926,2325.309904747177,28,cache/noisy_gpg_cooperativity_sweep_p5e-4_p5e-3.pkl
0.0005,100000000.0,erroneous,3.6092774657880966e-08,4.065047627543894e-05,4.061438350078106e-05,1.0000000000000004,0.9999999999999837,1.0000000000000437,0.01437640476369162,669.8935679179849,28,cache/noisy_gpg_cooperativity_sweep_p5e-4_p5e-3.pkl
0.0005,1000000000.0,erroneous,3.6092774657880966e-08,2.0588326244630473e-05,2.0552233469972592e-05,1.0000000000000004,0.9999999999999837,1.0000000000000422,0.005147316940767421,671.679321129166,28,cache/noisy_gpg_cooperativity_sweep_p5e-4_p5e-3.pkl
0.0005,10000000000.0,erroneous,3.6092774657880966e-08,5.968261342914616e-06,5.932168568256735e-06,1.0000000000000004,0.9999999999999837,1.0000000000000415,0.0019153869280326141,885.303017413069,28,cache/noisy_gpg_cooperativity_sweep_p5e-4_p5e-3.pkl
0.001,1000000.0,erroneous,2.8663604256795594e-07,0.0019601895869930663,0.0019599029509504984,1.0000000000000004,0.9999999999998519,1.0000000000000424,0.09886008827304427,584.7692758770718,27,cache/noisy_gpg_cooperativity_sweep_p1e-3.pkl
0.001,10000000.0,erroneous,2.8663604256795594e-07,0.00015414722115736357,0.0001538605851147956,1.0000000000000004,0.9999999999998519,1.0000000000000446,0.04020234879774598,596.5862964150438,27,cache/noisy_gpg_cooperativity_sweep_p1e-3.pkl
0.001,100000000.0,erroneous,2.8663604256795594e-07,8.636660907423988e-05,8.607997303167192e-05,1.0000000000000004,0.9999999999998519,1.00000000000004,0.011227128326697033,2034.9955415809818,27,cache/noisy_gpg_cooperativity_sweep_p1e-3.pkl
0.001,1000000000.0,erroneous,2.8663604256795594e-07,4.04954345144537e-05,4.020879847188574e-05,1.0000000000000004,0.9999999999998519,1.0000000000000409,0.004136709096193902,1979.9719382480544,27,cache/noisy_gpg_cooperativity_sweep_p1e-3.pkl
0.001,10000000000.0,erroneous,2.8663604256795594e-07,1.186852596068988e-05,1.1581889918121924e-05,1.0000000000000004,0.9999999999998519,1.000000000000033,0.0022263512317368672,601.2176930849382,27,cache/noisy_gpg_cooperativity_sweep_p1e-3.pkl
0.005,1000000.0,erroneous,7.251900052684945e-07,0.0032566701598952807,0.0032559449698900123,1.0000000000000004,1.0000000000003602,1.0000000000000653,0.10080253184974464,733.819413124118,35,cache/noisy_gpg_cooperativity_sweep_p5e-4_p5e-3.pkl
0.005,10000000.0,erroneous,7.251900052684945e-07,0.0005229995187798764,0.0005222743287746079,1.0000000000000004,1.0000000000003602,1.000000000000073,0.030638659161067894,2585.6874795820913,35,cache/noisy_gpg_cooperativity_sweep_p5e-4_p5e-3.pkl
0.005,100000000.0,erroneous,7.251900052684945e-07,7.492442348100425e-05,7.419923347573576e-05,1.0000000000000004,1.0000000000003602,1.0000000000000733,0.014757299243194577,729.6433037079987,35,cache/noisy_gpg_cooperativity_sweep_p5e-4_p5e-3.pkl
0.005,1000000000.0,erroneous,7.251900052684945e-07,3.6224784464411464e-05,3.549959445914297e-05,1.0000000000000004,1.0000000000003602,1.000000000000072,0.0052494755383813985,723.6420637501287,35,cache/noisy_gpg_cooperativity_sweep_p5e-4_p5e-3.pkl
0.005,10000000000.0,erroneous,7.251900052684945e-07,9.969066737447463e-06,9.243876732178968e-06,1.0000000000000004,1.0000000000003602,1.0000000000000708,0.002314732219586446,999.0890237040585,35,cache/noisy_gpg_cooperativity_sweep_p5e-4_p5e-3.pkl
