p,cooperativity,factor,num_sequences,total_pulses
0.0005,1000000.0,stage 0 split entangler,2,21
0.0005,1000000.0,stage 1 split entangler,2,16
0.0005,1000000.0,feedback U_0,4,36
0.0005,1000000.0,feedback U_1,8,64
0.0005,1000000.0,feedback U_2,7,69
0.0005,1000000.0,feedback U_3,5,47
0.0005,10000000.0,stage 0 split entangler,2,21
0.0005,10000000.0,stage 1 split entangler,2,16
0.0005,10000000.0,feedback U_0,4,36
0.0005,10000000.0,feedback U_1,8,64
0.0005,10000000.0,feedback U_2,7,69
0.0005,10000000.0,feedback U_3,5,47
0.0005,100000000.0,stage 0 split entangler,2,21
0.0005,100000000.0,stage 1 split entangler,2,16
0.0005,100000000.0,feedback U_0,4,36
0.0005,100000000.0,feedback U_1,8,64
0.0005,100000000.0,feedback U_2,7,69
0.0005,100000000.0,feedback U_3,5,47
0.0005,1000000000.0,stage 0 split entangler,2,21
0.0005,1000000000.0,stage 1 split entangler,2,16
0.0005,1000000000.0,feedback U_0,4,36
0.0005,1000000000.0,feedback U_1,8,64
0.0005,1000000000.0,feedback U_2,7,69
0.0005,1000000000.0,feedback U_3,5,47
0.0005,10000000000.0,stage 0 split entangler,2,21
0.0005,10000000000.0,stage 1 split entangler,2,16
0.0005,10000000000.0,feedback U_0,4,36
0.0005,10000000000.0,feedback U_1,8,64
0.0005,10000000000.0,feedback U_2,7,69
0.0005,10000000000.0,feedback U_3,5,47
0.001,1000000.0,stage 0 split entangler,2,21
0.001,1000000.0,stage 1 split entangler,3,30
0.001,1000000.0,stage 2 split entangler,1,10
0.001,1000000.0,feedback U_0,4,36
0.001,1000000.0,feedback U_1,6,48
0.001,1000000.0,feedback U_2,7,63
0.001,1000000.0,feedback U_3,4,34
0.001,10000000.0,stage 0 split entangler,2,21
0.001,10000000.0,stage 1 split entangler,3,30
0.001,10000000.0,stage 2 split entangler,1,10
0.001,10000000.0,feedback U_0,4,36
0.001,10000000.0,feedback U_1,6,48
0.001,10000000.0,feedback U_2,7,63
0.001,10000000.0,feedback U_3,4,34
0.001,100000000.0,stage 0 split entangler,2,21
0.001,100000000.0,stage 1 split entangler,3,30
0.001,100000000.0,stage 2 split entangler,1,10
0.001,100000000.0,feedback U_0,4,36
0.001,100000000.0,feedback U_1,6,48
0.001,100000000.0,feedback U_2,7,63
0.001,100000000.0,feedback U_3,4,34
0.001,1000000000.0,stage 0 split entangler,2,21
0.001,1000000000.0,stage 1 split entangler,3,30
0.001,1000000000.0,stage 2 split entangler,1,10
0.001,1000000000.0,feedback U_0,4,36
0.001,1000000000.0,feedback U_1,6,48
0.001,1000000000.0,feedback U_2,7,63
0.001,1000000000.0,feedback U_3,4,34
0.001,10000000000.0,stage 0 split entangler,2,21
0.001,10000000000.0,stage 1 split entangler,3,30
0.001,10000000000.0,stage 2 split entangler,1,10
0.001,10000000000.0,feedback U_0,4,36
0.001,10000000000.0,feedback U_1,6,48
0.001,10000000000.0,feedback U_2,7,63
0.001,10000000000.0,feedback U_3,4,34
0.005,1000000.0,stage 0 split entangler,2,18
0.005,1000000.0,stage 1 split entangler,4,36
0.005,1000000.0,stage 2 split entangler,2,20
0.005,1000000.0,feedback U_0,8,72
0.005,1000000.0,feedback U_1,6,48
0.005,1000000.0,feedback U_2,7,69
0.005,1000000.0,feedback U_3,6,50
0.005,10000000.0,stage 0 split entangler,2,18
0.005,10000000.0,stage 1 split entangler,4,36
0.005,10000000.0,stage 2 split entangler,2,20
0.005,10000000.0,feedback U_0,8,72
0.005,10000000.0,feedback U_1,6,48
0.005,10000000.0,feedback U_2,7,69
0.005,10000000.0,feedback U_3,6,50
0.005,100000000.0,stage 0 split entangler,2,18
0.005,100000000.0,stage 1 split entangler,4,36
0.005,100000000.0,stage 2 split entangler,2,20
0.005,100000000.0,feedback U_0,8,72
0.005,100000000.0,feedback U_1,6,48
0.005,100000000.0,feedback U_2,7,69
0.005,100000000.0,feedback U_3,6,50
0.005,1000000000.0,stage 0 split entangler,2,18
0.005,1000000000.0,stage 1 split entangler,4,36
0.005,1000000000.0,stage 2 split entangler,2,20
0.005,1000000000.0,feedback U_0,8,72
0.005,1000000000.0,feedback U_1,6,48
0.005,1000000000.0,feedback U_2,7,69
0.005,1000000000.0,feedback U_3,6,50
0.005,10000000000.0,stage 0 split entangler,2,18
0.005,10000000000.0,stage 1 split entangler,4,36
0.005,10000000000.0,stage 2 split entangler,2,20
0.005,10000000000.0,feedback U_0,8,72
0.005,10000000000.0,feedback U_1,6,48
0.005,10000000000.0,feedback U_2,7,69
0.005,10000000000.0,feedback U_3,6,50
